"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3013A50","논산천4","2024/01/03","1회차","127°0'38.2""","36°9'57.3""","10:20","","5.8","10.9","2.4","5.3","5.157","0.205","3.3","10.0"
"3009A05","두계천","2024/01/03","1회차","127°15'13.7""","36°16'51.9""","10:30","","7.3","11.1","0.4","2.7","2.189","0.017","1.0","1.4"
"3013A40","방축천","2024/01/03","1회차","127°3'12.67""","36°10'22.65""","12:45","","8.0","12.0","1.5","6.4","7.003","0.191","3.1","2.2"
"3012A75","석성천2","2024/01/03","1회차","127°1'52.89""","36°14'6.46""","13:30","","6.6","11.5","1.5","3.8","4.960","0.085","2.1","23.2"
"3013A60","수철천","2024/01/03","1회차","127°5'37.8""","36°6'3.72""","12:20","","8.2","12.0","1.5","3.4","3.589","0.128","1.5","2.6"
"3012A30","곰나루","2024/01/04","1회차","127°6'39.64""","36°28'27.75""","10:05","","6.1","12.2","1.2","3.4","4.499","0.055","2.5","12.6"
"3012A40","공주2","2024/01/04","1회차","126°59'13.8""","36°20'31.3""","10:40","","6.3","12.4","0.9","3.4","4.636","0.049","2.5","2.3"
"3201A10","당진천1","2024/01/04","1회차","126°37'28""","36°53'48.7""","10:55","","5.5","13.4","0.8","2.9","4.064","0.076","1.6","2.6"
"3202A60","도당천","2024/01/04","1회차","126°31'8.76""","36°44'8.16""","14:30","","6.9","14.7","2.5","3.4","4.177","0.009","1.7","1.8"
"3202A30","둔당천","2024/01/04","1회차","126°25'48.66""","36°45'39.39""","13:55","","6.0","12.4","2.0","4.7","5.898","0.027","2.6","3.2"
"3012A60","부여1","2024/01/04","1회차","126°53'32.8""","36°16'32.6""","11:10","","6.1","12.6","1.0","4.0","4.292","0.039","2.3","2.7"
"3012A70","부여2","2024/01/04","1회차","126°56'56.1""","36°14'39.1""","11:30","","5.5","13.1","1.2","4.0","4.369","0.045","2.4","4.0"
"3012A80","성동","2024/01/04","1회차","127°0'12.73""","36°10'22.52""","12:40","","6.0","12.9","1.6","3.4","4.435","0.054","2.4","3.6"
"3014A30","양화","2024/01/04","1회차","126°52'24.13""","36°6'27.13""","12:05","","5.2","13.1","1.6","3.5","3.361","0.053","2.2","3.8"
"3202A80","와룡천","2024/01/04","1회차","126°32'59""","36°36'1.1""","15:00","","6.4","10.9","2.0","3.8","6.346","0.016","1.9","2.0"
"3202A20","장검천","2024/01/04","1회차","126°23'23.64""","36°43'16.32""","13:30","","6.9","12.6","2.2","4.8","12.096","0.038","2.9","4.0"
"3202A50","청지천","2024/01/04","1회차","126°28'31.8""","36°46'4.08""","14:20","","8.7","13.2","2.0","4.3","6.575","0.037","2.2","2.6"
"3202A10","태안천","2024/01/04","1회차","126°19'43.38""","36°44'22.91""","13:00","","9.2","11.9","1.4","5.9","9.130","0.219","3.5","13.2"
"3101A25","무한천2","2024/01/08","1회차","126°49'49.7""","36°43'59.2""","16:20","","3.3","12.8","0.7","4.6","5.577","0.044","2.3","3.4"
"3012A30","곰나루","2024/01/08","2회차","127°6'39.64""","36°28'27.75""","09:37","","4.8","12.9","1.2","3.4","4.286","0.041","2.4","3.5"
"3012A20","공주1","2024/01/08","2회차","127°7'27.58""","36°27'59.19""","11:50","","4.9","13.0","0.8","4.2","4.271","0.037","3.1","2.5"
"3012A40","공주2","2024/01/08","2회차","126°59'13.8""","36°20'31.3""","10:11","","5.3","12.8","1.1","3.4","4.294","0.039","2.5","2.2"
"3012A32","금강","2024/01/08","2회차","127°6'.1""","36°27'52.7""","10:20","","4.6","13.2","0.9","4.5","4.303","0.041","3.2","6.5"
"3012A42","부여","2024/01/08","2회차","126°56'39.9""","36°19'19.5""","10:30","","5.5","12.5","0.9","4.4","4.073","0.037","3.1","5.1"
"3012A60","부여1","2024/01/08","2회차","126°53'32.8""","36°16'32.6""","10:34","","5.3","13.0","1.3","4.1","4.330","0.040","2.5","3.1"
"3012A70","부여2","2024/01/08","2회차","126°56'56.1""","36°14'39.1""","10:53","","4.5","13.2","1.7","4.2","4.257","0.049","2.5","4.7"
"3012A80","성동","2024/01/08","2회차","127°0'12.73""","36°10'22.52""","12:30","","5.6","13.7","2.2","3.4","4.208","0.048","2.4","5.0"
"3014A30","양화","2024/01/08","2회차","126°52'24.13""","36°6'27.13""","12:00","","4.8","14.2","2.4","3.5","4.148","0.048","2.5","5.3"
"3013A80","강경천","2024/01/09","1회차","127°1'29.46""","36°9'44.46""","10:31","","3.4","14.0","2.1","4.4","6.261","0.235","2.9","3.5"
"3101A45","삼용천","2024/01/09","1회차","127°9'11.04""","36°47'52.98""","12:30","","4.6","12.6","0.9","4.7","4.962","0.061","2.3","1.8"
"1101A20","성환천","2024/01/09","1회차","127°7'26.04""","36°57'11.16""","11:15","","1.6","12.1","2.9","6.9","6.210","0.192","4.5","9.2"
"3101A55","온천천","2024/01/09","1회차","126°59'31.56""","36°47'45.24""","14:40","","11.5","7.1","8.6","9.2","4.473","0.129","5.9","6.8"
"3101A40","원성천","2024/01/09","1회차","127°9'11.88""","36°48'1.44""","12:30","","7.5","12.3","1.2","7.8","8.175","0.108","4.3","3.0"
"1101A15","입장천","2024/01/09","1회차","127°8'23.28""","36°57'50.4""","11:00","","2.2","12.3","0.9","5.7","5.125","0.106","3.3","2.6"
"3101A35","천안천1","2024/01/09","1회차","127°8'46.27""","36°47'57.12""","12:45","","4.7","11.6","1.5","6.9","5.341","0.083","3.7","2.0"
"3101A50","천안천2","2024/01/09","1회차","127°6'48.36""","36°46'51.62""","14:00","","11.3","10.3","7.7","12.3","13.870","0.260","6.8","5.6"
"3101A60","곡교천2","2024/01/09","2회차","126°56'2.2""","36°49'17.9""","11:00","","5.7","10.6","4.1","6.2","8.193","0.153","4.7","3.7"
"3013A50","논산천4","2024/01/09","2회차","127°0'38.2""","36°9'57.3""","10:40","","4.5","13.6","1.4","3.7","6.058","0.191","3.2","4.1"
"3004A30","봉황천","2024/01/10","1회차","127°33'6.39""","36°6'38.12""","10:27","","5.7","12.7","0.7","2.9","3.896","0.041","1.7","2.0"
"3004A20","제원1","2024/01/10","1회차","127°34'.88""","36°6'39.83""","10:37","","4.2","13.4","0.6","3.3","1.724","0.013","1.8","1.0"
"3101A05","삽교천1","2024/01/11","1회차","126°43'52.1""","36°41'12.2""","11:51","","3.8","13.7","2.8","5.4","6.074","0.112","4.0","10.3"
"3101A10","삽교천2","2024/01/11","1회차","126°45'17.57""","36°44'9.85""","12:13","","4.8","12.9","2.8","5.9","5.684","0.168","4.6","32.6"
"3101A15","삽교천3","2024/01/11","1회차","126°48'53.6""","36°46'26.7""","12:32","","3.7","13.5","2.5","5.7","6.070","0.124","3.0","11.0"
"3004A05","부리","2024/01/15","1회차","127°35'36.86""","36°2'56.1""","13:30","","3.1","13.0","0.6","2.7","1.736","0.021","2.0","1.6"
"3004A40","제원2","2024/01/15","1회차","127°35'21.55""","36°6'59.03""","11:40","","4.2","13.6","0.6","2.8","2.015","0.022","2.1","1.6"
"3012A20","공주1","2024/01/15","3회차","127°7'27.58""","36°27'59.19""","11:30","","5.1","13.0","1.4","4.6","4.366","0.025","3.4","3.9"
"3012A32","금강","2024/01/15","3회차","127°6'.1""","36°27'52.7""","10:20","","4.8","13.0","1.3","4.8","4.686","0.027","3.2","4.2"
"3012A42","부여","2024/01/15","3회차","126°56'39.9""","36°19'19.5""","11:00","","4.5","13.4","1.2","4.1","4.231","0.027","3.2","5.9"
"3009A30","유등천1","2024/01/16","1회차","127°22'20.25""","36°14'58.74""","14:00","","4.4","16.6","0.6","1.7","2.378","0.003","0.9","1.8"
"3101A52","천안천3","2024/01/16","1회차","127°5'23""","36°46'30""","11:40","","11.7","10.0","8.1","9.8","12.055","0.385","4.7","7.7"
"3101A60","곡교천2","2024/01/16","3회차","126°56'2.2""","36°49'17.9""","10:50","","5.2","10.9","6.9","8.0","9.212","0.162","7.8","4.3"
"3012A30","곰나루","2024/01/16","3회차","127°6'39.64""","36°28'27.75""","09:50","","4.2","13.4","1.2","4.1","4.735","0.042","3.3","2.7"
"3012A40","공주2","2024/01/16","3회차","126°59'13.8""","36°20'31.3""","10:25","","3.9","13.7","1.3","4.1","4.680","0.034","3.8","2.4"
"3012A60","부여1","2024/01/16","3회차","126°53'32.8""","36°16'32.6""","10:50","","3.7","13.7","1.2","4.2","4.692","0.034","3.2","2.7"
"3012A70","부여2","2024/01/16","3회차","126°56'56.1""","36°14'39.1""","11:15","","3.1","14.1","1.8","4.2","4.662","0.040","3.3","4.2"
"3012A80","성동","2024/01/16","3회차","127°0'12.73""","36°10'22.52""","12:15","","5.2","13.9","2.0","3.7","4.418","0.064","3.8","5.7"
"3014A30","양화","2024/01/16","3회차","126°52'24.13""","36°6'27.13""","11:45","","3.8","15.3","3.4","3.8","4.546","0.059","4.2","8.6"
"3014A10","강경","2024/01/17","1회차","127°0'23.9""","36°9'15.3""","14:00","","3.8","14.7","1.8","4.4","4.261","0.052","3.6","6.1"
"3014A50","금강갑문","2024/01/17","1회차","126°45'10.9""","36°0'52.4""","12:50","","2.6","18.0","3.3","6.4","3.071","0.041","5.1","15.5"
"3012A65","금천","2024/01/17","1회차","126°53'7.52""","36°14'53.49""","14:00","","3.0","14.1","0.8","3.5","3.626","0.040","2.4","5.6"
"3014A45","길산천2","2024/01/17","1회차","126°44'23.17""","36°2'41.9""","13:40","","2.9","14.0","1.1","5.3","2.708","0.064","3.1","13.0"
"3101A70","남원천","2024/01/17","1회차","126°46'35.94""","36°51'31.43""","10:50","","2.6","13.3","1.5","3.9","7.552","0.129","3.0","5.3"
"3012A37","목면","2024/01/17","1회차","127°0'31.9""","36°23'3.6""","13:10","","3.9","13.8","0.9","4.0","4.575","0.035","3.0","1.8"
"3012A77","석성천3","2024/01/17","1회차","126°59'47.88""","36°12'13.96""","10:30","","1.2","14.6","1.2","5.0","6.035","0.210","2.8","15.3"
"3012A19","세종2","2024/01/17","1회차","127°11'46""","36°26'29.98""","12:20","","4.7","14.0","1.2","4.7","4.106","0.035","3.5","2.5"
"3012A35","유구천","2024/01/17","1회차","127°3'4.34""","36°28'5.61""","11:00","","3.1","13.8","0.4","1.5","2.757","0.027","1.1","1.0"
"3012A53","정동","2024/01/17","1회차","126°55'23.9""","36°18'11.6""","13:00","","4.2","13.9","0.9","3.9","4.398","0.026","3.0","3.8"
"3012A25","정안천","2024/01/17","1회차","127°7'32.07""","36°28'17.16""","10:10","","3.8","13.2","0.5","1.7","3.861","0.037","1.2","2.2"
"3012A52","지천2","2024/01/17","1회차","126°54'48.92""","36°19'18.79""","12:10","","2.1","14.0","0.5","3.9","3.004","0.022","1.4","2.8"
"3013A50","논산천4","2024/01/17","3회차","127°0'38.2""","36°9'57.3""","14:50","","3.5","14.3","1.1","3.5","4.492","0.129","2.5","4.1"
"3201A20","당진천2","2024/01/18","1회차","126°37'45.6""","36°56'29.4""","12:22","","4.0","13.5","1.9","5.9","4.004","0.131","2.4","9.7"
"3203A40","웅천천2","2024/01/18","1회차","126°35'46.6""","36°13'29.3""","10:35","","6.8","13.0","1.1","3.1","2.309","0.023","1.9","5.1"
"3101A30","곡교천1","2024/01/22","1회차","127°7'36.85""","36°45'8.02""","12:56","","3.3","13.5","0.9","4.8","3.871","0.064","2.3","1.8"
"3009A30","유등천1","2024/01/22","2회차","127°22'20.25""","36°14'58.74""","14:20","","5.5","14.2","0.4","1.7","2.878","0.015","1.2","2.0"
"3012A32","금강","2024/01/22","4회차","127°6'.1""","36°27'52.7""","10:40","","5.8","12.0","2.8","4.6","4.371","0.092","4.4","12.2"
"3012A42","부여","2024/01/22","4회차","126°56'39.9""","36°19'19.5""","10:50","","5.8","12.1","1.8","4.1","4.313","0.065","3.5","6.5"
"3014A10","강경","2024/01/23","2회차","127°0'23.9""","36°9'15.3""","14:00","","3.5","13.4","1.5","4.5","3.752","0.049","3.4","8.0"
"3014A50","금강갑문","2024/01/23","2회차","126°45'10.9""","36°0'52.4""","12:30","","2.2","13.7","2.2","5.7","3.539","0.061","4.2","15.5"
"3012A65","금천","2024/01/23","2회차","126°53'7.52""","36°14'53.49""","13:30","","1.2","14.8","1.4","4.6","2.850","0.068","3.4","9.0"
"3014A45","길산천2","2024/01/23","2회차","126°44'23.17""","36°2'41.9""","14:00","","2.0","13.5","2.3","7.9","1.730","0.092","4.8","16.0"
"3101A70","남원천","2024/01/23","2회차","126°46'35.94""","36°51'31.43""","10:50","","0.9","14.7","2.2","4.7","6.722","0.106","3.9","8.0"
"3012A37","목면","2024/01/23","2회차","127°0'31.9""","36°23'3.6""","13:00","","3.9","12.4","2.3","5.0","4.302","0.095","4.0","5.4"
"3012A77","석성천3","2024/01/23","2회차","126°59'47.88""","36°12'13.96""","10:30","","-0.7","15.0","1.5","6.2","4.756","0.182","3.8","16.8"
"3012A19","세종2","2024/01/23","2회차","127°11'46""","36°26'29.98""","12:10","","3.4","13.0","1.6","4.5","3.666","0.048","3.5","4.9"
"3012A35","유구천","2024/01/23","2회차","127°3'4.34""","36°28'5.61""","10:50","","2.6","13.9","0.5","2.1","2.512","0.021","1.3","1.3"
"3012A53","정동","2024/01/23","2회차","126°55'23.9""","36°18'11.6""","12:30","","4.4","12.8","1.5","4.3","3.523","0.040","3.3","6.4"
"3012A25","정안천","2024/01/23","2회차","127°7'32.07""","36°28'17.16""","10:10","","2.1","14.0","0.7","2.5","3.745","0.038","2.0","8.0"
"3012A52","지천2","2024/01/23","2회차","126°54'48.92""","36°19'18.79""","11:50","","1.4","14.4","0.6","3.4","2.610","0.029","1.8","6.0"
"3013A50","논산천4","2024/01/23","4회차","127°0'38.2""","36°9'57.3""","14:30","","2.6","13.1","1.3","4.1","2.645","0.076","3.0","8.5"
"3101A52","천안천3","2024/01/24","2회차","127°5'23""","36°46'30""","11:50","","9.9","10.5","6.0","9.9","11.060","0.241","7.4","9.8"
"3101A60","곡교천2","2024/01/24","4회차","126°56'2.2""","36°49'17.9""","10:50","","2.3","13.0","6.4","7.0","7.109","0.119","4.6","5.8"
"3012A30","곰나루","2024/01/24","4회차","127°6'39.64""","36°28'27.75""","09:51","","2.0","13.8","1.2","5.0","3.984","0.047","3.7","10.4"
"3012A40","공주2","2024/01/24","4회차","126°59'13.8""","36°20'31.3""","10:23","","2.5","13.3","2.3","5.2","4.311","0.091","4.4","3.3"
"3012A60","부여1","2024/01/24","4회차","126°53'32.8""","36°16'32.6""","10:49","","2.4","13.3","1.5","6.1","3.712","0.050","3.2","4.0"
"3012A70","부여2","2024/01/24","4회차","126°56'56.1""","36°14'39.1""","11:09","","2.1","13.6","1.9","6.4","3.901","0.064","4.1","15.8"
"3012A80","성동","2024/01/24","4회차","127°0'12.73""","36°10'22.52""","12:19","","3.5","13.7","1.7","7.4","4.229","0.084","2.4","82.2"
"3014A30","양화","2024/01/24","4회차","126°52'24.13""","36°6'27.13""","11:47","","1.9","14.1","3.1","5.6","3.964","0.084","2.3","9.9"
"3004A05","부리","2024/01/25","2회차","127°35'36.86""","36°2'56.1""","10:30","","0.9","14.5","0.4","2.6","1.745","0.006","2.0","1.1"
"3004A40","제원2","2024/01/25","2회차","127°35'21.55""","36°6'59.03""","11:30","","0.4","15.1","0.4","2.5","2.034","0.006","2.2","1.5"
"3012A20","공주1","2024/01/25","4회차","127°7'27.58""","36°27'59.19""","10:10","","1.7","14.0","0.9","4.8","4.013","0.036","3.2","3.8"
"3014A10","강경","2024/01/29","3회차","127°0'23.9""","36°9'15.3""","14:00","","3.1","13.9","1.8","4.3","3.988","0.050","3.3","6.5"
"3014A50","금강갑문","2024/01/29","3회차","126°45'10.9""","36°0'52.4""","13:10","","1.8","15.5","2.2","4.2","3.977","0.041","4.0","10.8"
"3012A65","금천","2024/01/29","3회차","126°53'7.52""","36°14'53.49""","13:40","","3.0","14.6","0.8","2.7","3.555","0.053","1.9","7.2"
"3014A45","길산천2","2024/01/29","3회차","126°44'23.17""","36°2'41.9""","12:40","","2.1","14.5","1.1","5.2","2.565","0.058","2.8","9.3"
"3012A37","목면","2024/01/29","3회차","127°0'31.9""","36°23'3.6""","14:00","","3.7","14.1","0.7","3.5","4.526","0.026","2.6","1.8"
"3012A77","석성천3","2024/01/29","3회차","126°59'47.88""","36°12'13.96""","10:40","","0.9","14.7","1.5","4.7","6.156","0.267","2.8","12.8"
"3012A19","세종2","2024/01/29","3회차","127°11'46""","36°26'29.98""","12:40","","4.6","13.4","1.0","4.0","4.480","0.031","3.0","2.4"
"3012A35","유구천","2024/01/29","3회차","127°3'4.34""","36°28'5.61""","11:10","","2.1","14.3","0.4","1.3","2.663","0.019","1.0","1.0"
"3012A53","정동","2024/01/29","3회차","126°55'23.9""","36°18'11.6""","12:50","","2.8","14.5","0.7","3.6","4.133","0.043","2.5","2.0"
"3012A25","정안천","2024/01/29","3회차","127°7'32.07""","36°28'17.16""","10:30","","2.5","13.8","0.6","1.8","3.893","0.029","1.3","2.8"
"3012A52","지천2","2024/01/29","3회차","126°54'48.92""","36°19'18.79""","12:00","","1.5","14.5","0.4","2.6","2.924","0.022","1.2","2.6"
"3012A20","공주1","2024/01/29","5회차","127°7'27.58""","36°27'59.19""","11:30","","4.2","13.3","0.9","4.0","4.655","0.033","3.2","4.1"
"3012A32","금강","2024/01/29","5회차","127°6'.1""","36°27'52.7""","10:20","","3.8","13.4","1.0","4.0","4.291","0.042","3.0","4.7"
"3013A50","논산천4","2024/01/29","5회차","127°0'38.2""","36°9'57.3""","14:40","","3.7","13.6","1.3","3.4","3.943","0.082","2.3","4.5"
"3012A42","부여","2024/01/29","5회차","126°56'39.9""","36°19'19.5""","10:40","","2.4","13.9","0.9","3.6","4.207","0.032","2.8","2.4"
"3101A52","천안천3","2024/01/30","3회차","127°5'23""","36°46'30""","11:50","","12.0","10.1","8.2","9.7","12.393","0.411","8.4","11.7"
"3101A60","곡교천2","2024/01/30","5회차","126°56'2.2""","36°49'17.9""","10:40","","6.0","10.8","5.1","7.5","10.103","0.190","5.2","25.0"
"3101A70","남원천","2024/01/31","3회차","126°46'35.94""","36°51'31.43""","10:50","","4.1","12.8","1.8","4.6","7.119","0.079","3.2","7.7"
"3004A05","부리","2024/01/31","3회차","127°35'36.86""","36°2'56.1""","10:00","","4.2","13.4","0.6","2.8","1.547","0.005","2.4","1.2"
"3004A40","제원2","2024/01/31","3회차","127°35'21.55""","36°6'59.03""","11:00","","4.4","14.0","0.6","2.7","1.890","0.004","1.8","1.4"
"3101A30","곡교천1","2024/02/01","1회차","127°7'36.85""","36°45'8.02""","12:10","","6.8","11.9","1.5","4.7","3.686","0.070","2.1","4.5"
"3012A30","곰나루","2024/02/01","1회차","127°6'39.64""","36°28'27.75""","09:54","","6.5","12.7","1.1","6.0","4.550","0.051","2.5","5.4"
"3012A40","공주2","2024/02/01","1회차","126°59'13.8""","36°20'31.3""","10:26","","5.5","13.4","1.2","5.6","4.315","0.032","2.4","2.3"
"3012A60","부여1","2024/02/01","1회차","126°53'32.8""","36°16'32.6""","10:49","","4.7","13.6","1.1","5.6","4.158","0.030","2.3","2.1"
"3012A70","부여2","2024/02/01","1회차","126°56'56.1""","36°14'39.1""","11:10","","4.1","14.0","1.0","6.0","4.067","0.033","2.2","2.2"
"3012A80","성동","2024/02/01","1회차","127°0'12.73""","36°10'22.52""","12:50","","5.4","13.9","1.4","4.9","3.755","0.036","2.3","2.9"
"3014A30","양화","2024/02/01","1회차","126°52'24.13""","36°6'27.13""","11:41","","5.3","14.9","2.8","4.8","3.650","0.056","2.6","6.1"
"3009A30","유등천1","2024/02/01","1회차","127°22'20.25""","36°14'58.74""","14:00","","5.8","16.2","0.5","2.2","2.164","0.005","1.1","1.3"
"3012A20","공주1","2024/02/05","1회차","127°7'27.58""","36°27'59.19""","12:10","","7.5","12.1","2.0","5.1","4.090","0.057","3.6","6.7"
"3012A32","금강","2024/02/05","1회차","127°6'.1""","36°27'52.7""","10:30","","7.3","12.1","2.4","5.2","3.676","0.036","4.1","12.2"
"3012A42","부여","2024/02/05","1회차","126°56'39.9""","36°19'19.5""","10:30","","6.6","13.0","1.5","4.7","4.259","0.043","3.4","6.5"
"3203A30","웅천천1","2024/02/05","1회차","126°40'33.41""","36°17'27.1""","15:00","","6.5","13.6","2.2","1.9","2.425","0.015","1.2","4.4"
"3203A10","광천천","2024/02/06","1회차","126°38'32.28""","36°30'43.56""","16:00","","7.5","11.9","5.9","13.6","14.458","0.072","7.0","20.4"
"3014A40","길산천1","2024/02/06","1회차","126°43'50.96""","36°4'28.9""","13:50","","6.1","10.8","2.0","5.7","1.629","0.030","3.3","12.0"
"3013A50","논산천4","2024/02/06","1회차","127°0'38.2""","36°9'57.3""","10:30","","5.9","11.6","5.2","8.9","3.347","0.262","7.2","90.0"
"3203A20","대천천","2024/02/06","1회차","126°35'55.3""","36°20'48.1""","15:30","","8.7","11.2","2.1","3.9","3.269","0.013","1.8","15.8"
"3101A20","무한천1","2024/02/06","1회차","126°47'9.54""","36°34'7.72""","10:50","","6.9","10.3","3.3","5.4","2.813","0.036","3.0","11.2"
"3012A55","은산천","2024/02/06","1회차","126°52'17.5""","36°17'44.5""","11:55","","7.4","12.1","1.4","4.8","2.804","0.016","2.7","9.6"
"3012A50","지천1","2024/02/06","1회차","126°51'31.9""","36°19'33.9""","11:40","","7.2","11.1","1.1","3.8","2.209","0.010","1.6","7.2"
"3203A50","판교천","2024/02/06","1회차","126°40'43.68""","36°5'30.12""","14:20","","6.4","12.0","1.5","4.2","2.015","0.005","2.3","3.2"
"3101A60","곡교천2","2024/02/07","1회차","126°56'2.2""","36°49'17.9""","11:20","","7.5","10.1","5.4","10.1","7.059","0.216","5.6","8.3"
"3013A20","노성천2","2024/02/07","1회차","127°5'37.04""","36°13'8.6""","14:30","","8.2","11.6","2.2","3.6","3.319","0.050","2.3","11.6"
"3013A10","논산천2","2024/02/07","1회차","127°12'9.59""","36°10'28.47""","11:50","","7.1","12.2","1.3","1.7","2.453","0.006","1.4","1.6"
"3013A30","논산천3","2024/02/07","1회차","127°4'49.8""","36°12'35.44""","14:10","","6.0","11.9","2.5","2.9","2.985","0.036","1.9","5.4"
"3009A05","두계천","2024/02/07","1회차","127°15'13.7""","36°16'51.9""","11:00","","5.2","12.0","1.7","2.9","1.948","0.003","3.5","2.0"
"3013A40","방축천","2024/02/07","1회차","127°3'12.67""","36°10'22.65""","13:50","","6.3","10.6","5.0","9.3","5.728","0.174","5.3","18.3"
"3012A75","석성천2","2024/02/07","1회차","127°1'52.89""","36°14'6.46""","15:00","","6.9","12.2","2.9","5.7","4.564","0.065","3.9","32.9"
"3013A60","수철천","2024/02/07","1회차","127°5'37.8""","36°6'3.72""","13:30","","8.2","12.6","3.0","4.6","4.150","0.112","1.1","7.4"
"3201A10","당진천1","2024/02/13","1회차","126°37'28""","36°53'48.7""","11:15","","8.3","13.9","2.6","4.0","3.461","0.019","2.3","5.8"
"3202A60","도당천","2024/02/13","1회차","126°31'8.76""","36°44'8.16""","14:30","","10.5","13.6","4.0","5.3","3.815","0.003","2.6","9.2"
"3202A30","둔당천","2024/02/13","1회차","126°25'48.66""","36°45'39.39""","14:00","","9.5","12.5","2.7","4.7","5.008","0.008","2.9","3.6"
"3202A80","와룡천","2024/02/13","1회차","126°32'59""","36°36'1.1""","14:50","","8.6","10.3","2.2","3.2","5.098","0.004","1.9","2.6"
"3202A20","장검천","2024/02/13","1회차","126°23'23.64""","36°43'16.32""","13:40","","12.4","12.8","2.1","5.0","9.850","0.012","3.4","5.0"
"3202A50","청지천","2024/02/13","1회차","126°28'31.8""","36°46'4.08""","14:15","","14.0","12.3","3.0","5.7","7.695","0.019","3.7","3.8"
"3202A10","태안천","2024/02/13","1회차","126°19'43.38""","36°44'22.91""","13:20","","13.0","11.2","6.6","8.0","9.424","0.210","5.2","5.4"
"3012A20","공주1","2024/02/13","2회차","127°7'27.58""","36°27'59.19""","12:30","","8.6","10.8","2.4","4.6","3.880","0.025","3.1","5.5"
"3012A32","금강","2024/02/13","2회차","127°6'.1""","36°27'52.7""","10:30","","8.7","10.9","1.7","4.8","3.688","0.027","3.3","6.0"
"3012A42","부여","2024/02/13","2회차","126°56'39.9""","36°19'19.5""","10:30","","8.6","11.5","1.2","4.7","3.646","0.027","3.1","4.5"
"3101A25","무한천2","2024/02/14","1회차","126°49'49.7""","36°43'59.2""","15:40","","12.8","10.8","2.5","4.1","4.683","0.038","2.7","7.6"
"3004A05","부리","2024/02/14","1회차","127°35'36.86""","36°2'56.1""","10:10","","6.4","12.4","0.6","2.8","1.590","0.006","1.8","1.3"
"3101A45","삼용천","2024/02/14","1회차","127°9'11.04""","36°47'52.98""","13:50","","14.8","12.7","0.8","3.5","3.749","0.052","2.1","5.4"
"1101A20","성환천","2024/02/14","1회차","127°7'26.04""","36°57'11.16""","11:10","","10.3","9.5","3.6","8.6","5.599","0.069","4.1","8.4"
"3101A55","온천천","2024/02/14","1회차","126°59'31.56""","36°47'45.24""","14:50","","15.1","5.3","7.0","8.1","4.939","0.098","4.0","4.4"
